Date,Open,High,Low,Close,Volume
21-06-2007,221.37,223.0,219.23,220.3,516250.0
22-06-2007,220.99,224.0,220.06,221.11,900750.0
25-06-2007,219.96,221.13,218.42,219.57,424000.0
26-06-2007,218.6,221.59,217.62,219.98,767000.0
27-06-2007,219.01,219.8,216.11,217.34,810000.0
28-06-2007,219.0,219.53,215.33,218.77,751500.0
29-06-2007,220.0,230.4,218.44,229.27,1721250.0
02-07-2007,230.0,230.0,225.33,228.23,810250.0
03-07-2007,229.8,233.56,228.44,230.22,780250.0
04-07-2007,230.0,230.0,225.96,229.0,435500.0
05-07-2007,230.0,230.6,225.2,226.68,642000.0
06-07-2007,227.96,231.14,224.03,230.3,907750.0
09-07-2007,232.32,236.3,231.62,234.17,1442500.0
10-07-2007,235.28,236.79,229.45,230.38,1576500.0
11-07-2007,228.86,233.2,227.2,230.92,698500.0
12-07-2007,231.58,240.4,231.58,238.99,1354750.0
13-07-2007,242.2,245.0,239.0,242.25,1194000.0
16-07-2007,243.6,244.0,238.4,241.6,815250.0
17-07-2007,242.0,242.4,237.8,238.49,627750.0
18-07-2007,239.38,242.2,236.8,237.59,954000.0
19-07-2007,236.4,241.6,234.42,240.45,765250.0
20-07-2007,243.6,243.6,237.45,238.73,704500.0
23-07-2007,238.8,243.56,238.8,242.64,909250.0
24-07-2007,243.0,246.82,240.2,245.47,1285750.0
25-07-2007,240.4,244.75,239.46,243.93,974000.0
26-07-2007,244.4,244.8,237.61,242.57,917750.0
27-07-2007,233.11,234.0,227.22,230.86,789500.0
30-07-2007,230.0,235.6,228.84,230.65,512500.0
31-07-2007,231.49,238.0,227.0,237.15,933000.0
01-08-2007,232.0,233.8,219.22,226.48,1386750.0
02-08-2007,227.2,229.2,225.25,227.01,446000.0
03-08-2007,228.4,230.4,226.4,228.98,421250.0
06-08-2007,219.0,226.0,218.0,224.55,590750.0
07-08-2007,229.32,229.8,224.01,225.03,430500.0
08-08-2007,227.43,234.2,227.2,232.48,749250.0
09-08-2007,235.0,236.94,226.8,228.99,617250.0
10-08-2007,216.0,225.6,216.0,224.75,724000.0
13-08-2007,228.0,228.0,223.68,226.34,300500.0
14-08-2007,227.0,227.59,222.8,226.76,333250.0
16-08-2007,217.2,221.4,212.6,217.11,651250.0
17-08-2007,216.0,217.0,207.0,212.09,931250.0
20-08-2007,218.8,225.0,218.8,222.78,931250.0
21-08-2007,224.05,224.05,216.82,218.01,696250.0
22-08-2007,220.0,223.8,218.7,223.1,597250.0
23-08-2007,228.0,228.0,216.0,220.18,722000.0
24-08-2007,221.6,224.03,216.02,219.66,884750.0
27-08-2007,223.0,225.8,221.45,223.94,961000.0
28-08-2007,224.41,229.59,217.24,227.87,940500.0
29-08-2007,222.0,234.78,221.5,232.28,970750.0
30-08-2007,230.24,239.39,230.24,236.67,954250.0
31-08-2007,232.74,236.56,230.2,232.56,794000.0
03-09-2007,237.0,238.0,233.3,234.39,560000.0
04-09-2007,236.8,236.8,232.1,234.19,417250.0
05-09-2007,234.0,235.49,230.44,233.66,535750.0
06-09-2007,231.2,237.0,231.2,236.56,346250.0
07-09-2007,237.0,241.0,235.02,238.79,536250.0
10-09-2007,235.0,238.99,233.63,237.49,505500.0
